marketId,marketName,outcomeName,bet9ja,livescorebet
3000008,1x2 & Goal/No Goal & O/U 3.5,Home & GG & Under 3.5,,
3000009,Home or over 2.5,Yes,,
3000010,Home or under 2.5,Yes,,
3000011,Draw or over 2.5,Yes,,
3000012,Draw or under 2.5,Yes,,
3000013,Away or over 2.5,Yes,,
3000014,Away or under 2.5,Yes,,
3000015,Home or GG/NG,Yes,,
3000016,Draw or GG/NG,Yes,,
3000017,Away or GG/NG,Yes,,
3000018,Home or any clean sheet,Yes,,
3000019,Draw or any clean sheet,Yes,,
3000020,Away or any clean sheet,Yes,,
3000021,Goal Streak 2+,Yes,,
3000022,Goal Streak 3+,Yes,,
3000023,Home Goal Streak 2+,Yes,,
3000024,Home Goal Streak 3+,Yes,,
3000025,Away Goal Streak 2+,Yes,,
3000026,Away Goal Streak 3+,Yes,,
3000027,GG/NG 2+,Yes,,
5000001,1x2 - Early Payout,Home,,
